author_id,id,created_at,tweet_text,probability,sentiment,sentiment_value
993036330,1611899482123436032,2023-01-08T01:35:58.000Z," Those who are supporting bastard TTE must realise that even if the person is without ticket or whatever, they don't have right to beat him up. The TTE have the power where they can call RPF and simply take necessary action.also Such TTEs takes money nd allows many people widot tk",0.9968703389167786,NEGATIVE,-1
2282321089,1611920147899641856,2023-01-08T02:58:05.000Z,  still no resolution on it. Un-trained TTE staff and call centre agents. They dont know the rules and miss guide the passengers and has to pay for it. I need my money refund. Pls help,0.9999483823776245,NEGATIVE,-1
1255867309132066817,1611937256603881473,2023-01-08T04:06:04.000Z,"RT :   Nae geoeseo son tte neo (Step back, step back) Dasi taeeonado andoelgeol (Step back, step back)…",0.9922516942024231,POSITIVE,1
1608158188347740160,1612011638814638080,2023-01-08T09:01:39.000Z,"Viral video: Passenger did not show ticket, TTE pulled him, then railway did this ",0.9993171691894531,NEGATIVE,-1
863258909796032512,1612037888707006464,2023-01-08T10:45:57.000Z,RT : The evidence available in this video is enough to book the TTE concerned. The incident had taken place on January 2 in the Pa…,0.9752477407455444,POSITIVE,1
579858195,1612042777914900483,2023-01-08T11:05:23.000Z,     You know tte office of the vice President heads the economic team sha ?,0.962380051612854,NEGATIVE,-1
604301413,1612068588785111041,2023-01-08T12:47:57.000Z,"PNR-6713674777 Trn:18107 Dt:07-01-23 Frm ROU to JDB No switch no plug is working, even after reminding the TTE no one bother to rectify. Very very bad service by ECoR. Rourkela junction station master probably sleeping. Horrible service. Toilet is too unclean.",0.99998939037323,NEGATIVE,-1
173415920,1612068451555676163,2023-01-08T12:47:24.000Z,RT : Different  echofirst ways to image Tricuspid with 3D TTE full volume &amp; zoom preparation and TEE  Berlin3DEcho  …,0.9997619986534119,POSITIVE,1
1161070207,1612068313433264129,2023-01-08T12:46:51.000Z,Different  echofirst ways to image Tricuspid with 3D TTE full volume &amp; zoom preparation and TEE  Berlin3DEcho              ,0.9998462200164795,POSITIVE,1
1411364033068814344,1612068179265683456,2023-01-08T12:46:19.000Z, sorry tte was 45. rupees. now check ,0.9991320967674255,NEGATIVE,-1
790594188790362112,1612059473631141888,2023-01-08T12:11:43.000Z, trevor qui a gaslight wade tte sa vie ,0.9466614127159119,POSITIVE,1
4059495614,1612076773524779009,2023-01-08T13:20:28.000Z,Can  explain me how the TTE allotted the written ticket to other person when I had booking and boarded from Aurangabad to Parbhani ? Ticket number- 17650 Birth number - S3 - 58   ,0.961319088935852,NEGATIVE,-1
1612086501222883328,1612095765769515008,2023-01-08T14:35:56.000Z," hi I'm bikash Ghosh I am travelling train no 12334. The train is all packed by local passengers in reservation comparment and their behaviour are so rude and they even threaten us. No RPF, no TTE. Please activate your intelligence and take stern step ",0.9990222454071045,NEGATIVE,-1
1109418349388193792,1612105575046991873,2023-01-08T15:14:55.000Z,",TTE inforce to take another ticket nd fill fine. Presently train 12588 Will arriving in lko division by Ambala division. didn't send message to mb div. What is the process????? kindly reply me asap.",0.9960624575614929,NEGATIVE,-1
1432019892744585219,1612110675513597954,2023-01-08T15:35:11.000Z," My family is travelling by train 22171 in B3 coach (25,26,28). No linens/ bedrolls provided by attendants. Complained to TTE but no help",0.9997062087059021,NEGATIVE,-1
1412594007541092358,1612126474898898944,2023-01-08T16:37:58.000Z, Train no 12704..S5 coach..What's the point of paying for reservation?? No TTE visits no RPF support..   ..Despite multiple complaints you guys shamelesly close tickets with out any action ,0.9995265007019043,NEGATIVE,-1
1567172354190770182,1612139293287526404,2023-01-08T17:28:54.000Z,"$TTE ""ALL THESE LEVELS POSTED AHEAD OF TIME BEFORE THE MARKET OPENED-- ",0.9451800584793091,NEGATIVE,-1
158740870,1612146128379875328,2023-01-08T17:56:03.000Z,  01446 train is stuck at one place from last 1 and half hour. No TTE in train. Called 139 representatives said they have no information. What a pathetic state of management. Where should i go whom should i ask what should i do? and it is 11:30 PM,0.9999918937683105,NEGATIVE,-1
