author_id,id,created_at,tweet_text,probability,sentiment,sentiment_value
1611875313104871424,1611886617702330368,2023-01-08T00:44:51.000Z,RT : Trust wallet looking like this. Does it mean it’s no longer be trusted or it’s time to MCD?  TWT ,0.9999680519104004,NEGATIVE,-1
22554784,1611886568297594880,2023-01-08T00:44:39.000Z,    Yo  ! We love your venue! Thanks for having us!,0.9963830709457397,POSITIVE,1
1136370591517290496,1611886378836533248,2023-01-08T00:43:54.000Z,RT : McDonald's leaves Kazakhstan over supply shortages $MCD,0.9987610578536987,NEGATIVE,-1
160868594,1611886311085903872,2023-01-08T00:43:38.000Z,    Great photo!,0.9992258548736572,POSITIVE,1
160868594,1611886241871691776,2023-01-08T00:43:22.000Z,RT : First of a few to come.     Literal dream of a shoot to we…,0.8773962259292603,POSITIVE,1
267655469,1611886206455025665,2023-01-08T00:43:13.000Z, Mcd doong,0.5613162517547607,POSITIVE,1
1571941471778922496,1611878749959557121,2023-01-08T00:13:35.000Z,"RT : ❝ one last dance ❞ 𖤐 established hyvnho 𖤐 2.0k words 𖤐 mcd, angst, ballet au 𖤐 inspired by a song ↳ …",0.6502978205680847,POSITIVE,1
1574438554578702336,1611878707559370752,2023-01-08T00:13:25.000Z,  What's mcd?,0.9981793165206909,NEGATIVE,-1
121543889,1611878687900581890,2023-01-08T00:13:21.000Z," He needs to improve. But if he couldn't motivate, the team would've given up 4 games ago. They almost beat the 9ers last week. Last year's playoff team was lucky to be there. I realize that people who hate McD believe last year's team was Lombardi's Packers. I'm not one of them.",0.9999492168426514,NEGATIVE,-1
999457415773982720,1611878485936455680,2023-01-08T00:12:32.000Z,"  You can do it in game to keep the chemistry , look at this in game i switch to offensive and it changes to 4-2-3-1 (3 CAM) From this Trippier switches to RB Cancelo to MCD alongside with Tonali 3 CAM are composed by Bennacer on center, Di Maria on Left and Almiron to the Left ",0.9973994493484497,NEGATIVE,-1
1240150922866630656,1611900122547499009,2023-01-08T01:38:31.000Z,   ill eat the dogecoin if mcd's gives me a happy meal. both are just as valuable going and and going out,0.871961772441864,POSITIVE,1
26160680,1611899829738770434,2023-01-08T01:37:21.000Z,I wonder what this news will do to the $MCD stock price on Monday.  ,0.9993925094604492,NEGATIVE,-1
1209416519299416065,1611899802446598145,2023-01-08T01:37:15.000Z,Still wanna celebrate birthday on KFC or McD but realize I didn’t have friend at all,0.9922438263893127,NEGATIVE,-1
18507630,1611893041563897856,2023-01-08T01:10:23.000Z,"  It's embarrassing, Mark Davis and McD have a hard on after losing that game just to get someone they think can save them",0.9993423819541931,NEGATIVE,-1
2572862215,1611892753973280770,2023-01-08T01:09:14.000Z,"RT : Can someone tag the MCD councillor for Nangloi, Delhi. I am at Nangloi Kabristan and all the manholes are open. …",0.8680989742279053,POSITIVE,1
1441492640936050688,1611892745420808193,2023-01-08T01:09:12.000Z,RT : 2022 Top 10 Defensive Stocks (Via: ) $DG 🏪 +7.38% $KO 🥤 +9.40% $JNJ 🩹 +5.09% $WM ♻️ +2.01% $MA 💳 +0.08% $S…,0.9929146766662598,POSITIVE,1
2196577831,1611892693772431360,2023-01-08T01:09:00.000Z, thats because MCD is used to saying please and thank you before and after Belly disrespects him.,0.999082088470459,NEGATIVE,-1
1515389749368098817,1611914144671727616,2023-01-08T02:34:14.000Z,‘Elected govt will become irrelevant if…’: Kejriwal writes letter to Delhi L-G over MCD crisis ,0.9945158362388611,NEGATIVE,-1
1582228688665706497,1611914064275607552,2023-01-08T02:33:55.000Z,"RT : ""We are waiting for the formation of AAP’s Govt at MCD. For nominating RWAs as ‘mini councillors’, we will form a policy and…",0.8720185160636902,NEGATIVE,-1
1219393849765900288,1611914054557175808,2023-01-08T02:33:53.000Z,If there is a chance Vrabel gets fired I would love him to come to Miami as D cord. With head coaching exp he would help McD alot with little things and McD could truly not have to worry about that side of the ball ,0.9871827363967896,POSITIVE,1
